LECROYWaveRunnerkR 21099 Waveform
Segments 1 SegmentSize 100002
Segment TrigTime TimeSinceSegment1
#1 09-May-2022 14:43:36 0                 
Time Ampl
-5.0000253e-007 -0.0381617
-4.9995253e-007 -0.0432834
-4.9990253e-007 -0.0439151
-4.9985253e-007 -0.0395348
-4.9980253e-007 -0.0395211
-4.9975253e-007 -0.0439288
-4.9970253e-007 -0.0454941
-4.9965253e-007 -0.0411688
-4.9960253e-007 -0.0375438
-4.9955253e-007 -0.0391366
-4.9950253e-007 -0.0408805
-4.9945253e-007 -0.0388482
-4.9940253e-007 -0.0358823
-4.9935253e-007 -0.0362942
-4.9930253e-007 -0.038148
-4.9925253e-007 -0.0384363
-4.9920253e-007 -0.0395211
-4.9915253e-007 -0.0410864
-4.9910253e-007 -0.0404136
-4.9905253e-007 -0.0373241
-4.9900253e-007 -0.0357313
-4.9895253e-007 -0.0388757
-4.9890253e-007 -0.0405097
-4.9885253e-007 -0.0387109
-4.9880253e-007 -0.0376399
-4.9875253e-007 -0.0384226
-4.9870253e-007 -0.0410178
-4.9865253e-007 -0.0420476
-4.9860253e-007 -0.0414984
-4.9855253e-007 -0.0412375
-4.9850253e-007 -0.0386835
-4.9845253e-007 -0.0359922
-4.9840253e-007 -0.0379969
-4.9835253e-007 -0.0424184
-4.9830253e-007 -0.0437915
-4.9825253e-007 -0.0402763
-4.9820253e-007 -0.0386286
-4.9815253e-007 -0.0435306
-4.9810253e-007 -0.0452607
-4.9805253e-007 -0.0400429
-4.9800253e-007 -0.0365551
-4.9795253e-007 -0.0372142
-4.9790253e-007 -0.035951
-4.9785253e-007 -0.0320788
-4.9780253e-007 -0.0329988
-4.9775253e-007 -0.0394662
-4.9770253e-007 -0.0421575
-4.9765253e-007 -0.0378871
-4.9760253e-007 -0.0354429
-4.9755253e-007 -0.0395348
-4.9750253e-007 -0.0430088
-4.9745253e-007 -0.0399742
-4.9740253e-007 -0.0376536
-4.9735253e-007 -0.0404548
-4.9730253e-007 -0.0400017
-4.9725253e-007 -0.0370907
-4.9720253e-007 -0.0388208
-4.9715253e-007 -0.0420339
-4.9710253e-007 -0.0408942
-4.9705253e-007 -0.0365963
-4.9700253e-007 -0.0368023
-4.9695253e-007 -0.0434894
-4.9690253e-007 -0.0459198
-4.9685253e-007 -0.04121
-4.9680253e-007 -0.0398644
-4.9675253e-007 -0.0431187
-4.9670253e-007 -0.0422261
-4.9665253e-007 -0.035896
-4.9660253e-007 -0.034262
-4.9655253e-007 -0.0394524
-4.9650253e-007 -0.0379008
-4.9645253e-007 -0.0314746
-4.9640253e-007 -0.0349761
-4.9635253e-007 -0.0418691
-4.9630253e-007 -0.0429813
-4.9625253e-007 -0.0418279
-4.9620253e-007 -0.03937
-4.9615253e-007 -0.0391503
-4.9610253e-007 -0.041004
-4.9605253e-007 -0.0402214
-4.9600253e-007 -0.0385462
-4.9595253e-007 -0.0389581
-4.9590253e-007 -0.0405372
-4.9585253e-007 -0.0387659
-4.9580253e-007 -0.0376536
-4.9575253e-007 -0.0427342
-4.9570253e-007 -0.0459885
-4.9565253e-007 -0.0416631
-4.9560253e-007 -0.0369945
-4.9555253e-007 -0.0393975
-4.9550253e-007 -0.043256
-4.9545253e-007 -0.041004
-4.9540253e-007 -0.0365826
-4.9535253e-007 -0.0366925
-4.9530253e-007 -0.040496
-4.9525253e-007 -0.0413061
-4.9520253e-007 -0.0390268
-4.9515253e-007 -0.0385462
-4.9510253e-007 -0.0389718
-4.9505253e-007 -0.0383951
-4.9500253e-007 -0.0386011
-4.9495253e-007 -0.0422948
-4.9490253e-007 -0.0451646
-4.9485253e-007 -0.0415945
-4.9480253e-007 -0.036665
-4.9475253e-007 -0.0369808
-4.9470253e-007 -0.0407569
-4.9465253e-007 -0.0413199
-4.9460253e-007 -0.0383539
-4.9455253e-007 -0.0391366
-4.9450253e-007 -0.0402214
-4.9445253e-007 -0.0358274
-4.9440253e-007 -0.0349623
-4.9435253e-007 -0.0388757
-4.9430253e-007 -0.0392465
-4.9425253e-007 -0.0372554
-4.9420253e-007 -0.0381617
-4.9415253e-007 -0.0429127
-4.9410253e-007 -0.0438876
-4.9405253e-007 -0.0396996
-4.9400253e-007 -0.0403175
-4.9395253e-007 -0.0431324
-4.9390253e-007 -0.0406333
-4.9385253e-007 -0.0369808
-4.9380253e-007 -0.0362668
-4.9375253e-007 -0.04029
-4.9370253e-007 -0.0427616
-4.9365253e-007 -0.0378871
-4.9360253e-007 -0.0372142
-4.9355253e-007 -0.040496
-4.9350253e-007 -0.0399742
-4.9345253e-007 -0.0409354
-4.9340253e-007 -0.0408805
-4.9335253e-007 -0.0381892
-4.9330253e-007 -0.0378871
-4.9325253e-007 -0.0383677
-4.9320253e-007 -0.0400154
-4.9315253e-007 -0.0433795
-4.9310253e-007 -0.0421025
-4.9305253e-007 -0.0379969
-4.9300253e-007 -0.0387933
-4.9295253e-007 -0.0409354
-4.9290253e-007 -0.0411139
-4.9285253e-007 -0.039933
-4.9280253e-007 -0.0373241
-4.9275253e-007 -0.0394936
-4.9270253e-007 -0.0429813
-4.9265253e-007 -0.0380244
-4.9260253e-007 -0.0344131
-4.9255253e-007 -0.0411826
-4.9250253e-007 -0.0453156
-4.9245253e-007 -0.039933
-4.9240253e-007 -0.0375987
-4.9235253e-007 -0.0417181
-4.9230253e-007 -0.0413061
-4.9225253e-007 -0.0371456
-4.9220253e-007 -0.0380518
-4.9215253e-007 -0.0395211
-4.9210253e-007 -0.0378596
-4.9205253e-007 -0.0373104
-4.9200253e-007 -0.0384775
-4.9195253e-007 -0.0412649
-4.9190253e-007 -0.0424184
-4.9185253e-007 -0.0398644
-4.9180253e-007 -0.0378459
-4.9175253e-007 -0.0379008
-4.9170253e-007 -0.0370495
-4.9165253e-007 -0.0365826
-4.9160253e-007 -0.0396996
-4.9155253e-007 -0.0431598
-4.9150253e-007 -0.0421437
-4.9145253e-007 -0.0367886
-4.9140253e-007 -0.0350996
-4.9135253e-007 -0.0407843
-4.9130253e-007 -0.044533
-4.9125253e-007 -0.0425969
-4.9120253e-007 -0.0389856
-4.9115253e-007 -0.0361569
-4.9110253e-007 -0.0373515
-4.9105253e-007 -0.0400429
-4.9100253e-007 -0.0408667
-4.9095253e-007 -0.0422261
-4.9090253e-007 -0.0410178
-4.9085253e-007 -0.0373104
-4.9080253e-007 -0.03937
-4.9075253e-007 -0.0451783
-4.9070253e-007 -0.0429951
-4.9065253e-007 -0.0362119
-4.9060253e-007 -0.0393014
-4.9055253e-007 -0.0453156
-4.9050253e-007 -0.0420064
-4.9045253e-007 -0.036102
-4.9040253e-007 -0.0350859
-4.9035253e-007 -0.0404548
-4.9030253e-007 -0.0438327
-4.9025253e-007 -0.0362668
-4.9020253e-007 -0.0315433
-4.9015253e-007 -0.0381205
-4.9010253e-007 -0.0406745
-4.9005253e-007 -0.0360334
-4.9000253e-007 -0.0352369
-4.8995253e-007 -0.0379969
-4.8990253e-007 -0.0392465
-4.8985253e-007 -0.0373515
-4.8980253e-007 -0.0355116
-4.8975253e-007 -0.0389993
-4.8970253e-007 -0.0410452
-4.8965253e-007 -0.0378459
-4.8960253e-007 -0.0377498
-4.8955253e-007 -0.0402763
-4.8950253e-007 -0.040139
-4.8945253e-007 -0.04029
-4.8940253e-007 -0.0393838
-4.8935253e-007 -0.0367336
-4.8930253e-007 -0.0385874
-4.8925253e-007 -0.0391366
-4.8920253e-007 -0.0368298
-4.8915253e-007 -0.0407157
-4.8910253e-007 -0.0428028
-4.8905253e-007 -0.0381892
-4.8900253e-007 -0.0380518
-4.8895253e-007 -0.0410315
-4.8890253e-007 -0.0399605
-4.8885253e-007 -0.0390817
-4.8880253e-007 -0.0394387
-4.8875253e-007 -0.0394662
-4.8870253e-007 -0.0400429
-4.8865253e-007 -0.0386286
-4.8860253e-007 -0.0369259
-4.8855253e-007 -0.0379145
-4.8850253e-007 -0.0399056
-4.8845253e-007 -0.0417318
-4.8840253e-007 -0.0407432
-4.8835253e-007 -0.037736
