LECROY;WAVERUNNER8404M;LCRY4256N21099;8.4.1;TCPIP0::192.168.41.155
TriggerTime,2022-05-11--14-33-39.757
RelativeTime Ch.#1 Ch.#2 Ch.#3 Ch.#4
[s] [V] [V] [V] [V]
-9.202372E-8 -6.250132E-3 4.634932E-4 -4.322869E-2 -2.408593E-1
-9.197372E-8 -6.993677E-3 3.865890E-4 -3.994691E-2 -2.041969E-1
-9.192372E-8 -7.240151E-3 3.365399E-4 -3.531951E-2 -1.949971E-1
-9.187372E-8 -6.596845E-3 3.292158E-4 -3.828546E-2 -2.205372E-1
-9.182372E-8 -6.057208E-3 3.568851E-4 -4.421732E-2 -2.383876E-1
-9.177372E-8 -6.213744E-3 4.065270E-4 -4.248720E-2 -2.297370E-1
-9.172372E-8 -6.740335E-3 4.557620E-4 -3.717321E-2 -2.183402E-1
-9.167372E-8 -6.833708E-3 4.850589E-4 -3.888962E-2 -2.274027E-1
-9.162372E-8 -6.342817E-3 5.037764E-4 -4.447821E-2 -2.414086E-1
-9.157372E-8 -6.094282E-3 5.403974E-4 -4.247347E-2 -2.473130E-1
-9.152372E-8 -6.111447E-3 5.932946E-4 -3.669262E-2 -2.589846E-1
-9.147372E-8 -6.045537E-3 6.205570E-4 -4.004306E-2 -2.724409E-1
-9.142372E-8 -6.351057E-3 5.920739E-4 -4.416239E-2 -2.610440E-1
-9.137372E-8 -6.854991E-3 5.241213E-4 -4.026273E-2 -2.335818E-1
-9.132372E-8 -6.857051E-3 4.431482E-4 -3.937021E-2 -2.239699E-1
-9.127372E-8 -6.511712E-3 3.646163E-4 -4.103169E-2 -2.311101E-1
-9.122372E-8 -6.502099E-3 3.076501E-4 -4.035887E-2 -2.337191E-1
-9.117372E-8 -7.043795E-3 2.954430E-4 -3.996065E-2 -2.349548E-1
-9.112372E-8 -7.192778E-3 3.271813E-4 -3.725561E-2 -2.401726E-1
-9.107372E-8 -6.500727E-3 3.747887E-4 -3.589621E-2 -2.501965E-1
-9.102372E-8 -6.296818E-3 4.166996E-4 -3.901321E-2 -2.383876E-1
-9.097372E-8 -6.914722E-3 4.577965E-4 -4.046872E-2 -2.063940E-1
-9.092372E-8 -7.260062E-3 4.984867E-4 -3.928784E-2 -2.191639E-1
-9.087372E-8 -7.017019E-3 5.143557E-4 -3.650039E-2 -2.552769E-1
-9.082372E-8 -6.614009E-3 4.940107E-4 -3.511354E-2 -2.687335E-1
-9.077372E-8 -6.699828E-3 4.757002E-4 -3.868365E-2 -2.701068E-1
-9.072372E-8 -6.875588E-3 4.993004E-4 -4.013917E-2 -2.533545E-1
-9.067372E-8 -6.287206E-3 5.570804E-4 -3.882095E-2 -2.345428E-1
-9.062372E-8 -5.963836E-3 6.124189E-4 -4.196543E-2 -2.364652E-1
-9.057372E-8 -6.642157E-3 6.449709E-4 -4.539821E-2 -2.217729E-1
-9.052372E-8 -7.144033E-3 6.596195E-4 -4.472539E-2 -1.998029E-1
-9.047372E-8 -6.720426E-3 6.649091E-4 -4.133376E-2 -2.312474E-1
-9.042372E-8 -6.094969E-3 6.714195E-4 -3.980961E-2 -2.573366E-1
-9.037372E-8 -6.200699E-3 6.897300E-4 -4.332480E-2 -2.355042E-1
-9.032372E-8 -6.558397E-3 7.076338E-4 -4.291287E-2 -2.298744E-1
-9.027372E-8 -6.373026E-3 6.962405E-4 -3.779113E-2 -2.408593E-1
-9.022372E-8 -6.089477E-3 6.433434E-4 -3.742039E-2 -2.552769E-1
-9.017372E-8 -6.140282E-3 5.672530E-4 -3.737921E-2 -2.622800E-1
-9.012372E-8 -6.309176E-3 4.911625E-4 -3.612965E-2 -2.289131E-1
-9.007372E-8 -6.221983E-3 4.260582E-4 -3.985080E-2 -2.272654E-1
-9.002372E-8 -6.272788E-3 3.833338E-4 -4.375046E-2 -2.790320E-1
-8.997372E-8 -6.800067E-3 3.772301E-4 -4.232243E-2 -2.642024E-1
-8.992372E-8 -6.796634E-3 4.032718E-4 -3.888962E-2 -1.987045E-1
-8.987372E-8 -6.193147E-3 4.346031E-4 -3.910932E-2 -1.956837E-1
-8.982372E-8 -6.115566E-3 4.504723E-4 -4.118273E-2 -2.324831E-1
-8.977372E-8 -6.541234E-3 4.541345E-4 -3.946632E-2 -2.467637E-1
-8.972372E-8 -6.736216E-3 4.663414E-4 -3.735173E-2 -2.268534E-1
-8.967372E-8 -6.644904E-3 4.976729E-4 -3.721443E-2 -2.019999E-1
-8.962372E-8 -6.736216E-3 5.379561E-4 -3.726935E-2 -2.139461E-1
-8.957372E-8 -7.074690E-3 5.717289E-4 -3.872484E-2 -2.263043E-1
-8.952372E-8 -7.019079E-3 5.871910E-4 -4.059228E-2 -2.184775E-1
-8.947372E-8 -6.271415E-3 5.916669E-4 -4.074332E-2 -2.403100E-1
-8.942372E-8 -6.044851E-3 6.067222E-4 -4.081199E-2 -2.617307E-1
-8.937372E-8 -6.776037E-3 6.429364E-4 -4.314628E-2 -2.462144E-1
-8.932372E-8 -6.898931E-3 6.844404E-4 -4.300898E-2 -2.327578E-1
-8.927372E-8 -6.305057E-3 7.084475E-4 -3.827173E-2 -2.323458E-1
-8.922372E-8 -6.184222E-3 7.068201E-4 -3.779113E-2 -2.532175E-1
-8.917372E-8 -6.700515E-3 6.791507E-4 -4.115528E-2 -2.429190E-1
-8.912372E-8 -7.349314E-3 6.209638E-4 -3.895828E-2 -1.877196E-1
-8.907372E-8 -7.249763E-3 5.412113E-4 -3.519592E-2 -2.268534E-1
-8.902372E-8 -6.596845E-3 4.809899E-4 -3.792843E-2 -2.902915E-1
